oui,isPrivate,companyName,companyAddress,countryCode,assignmentBlockSize,dateCreated,dateUpdated
00:E0:82,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,BE,MA-L,1980-01-01,2015-09-27
DC:1D:9F,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,KR,MA-L,2010-02-21,2015-09-27
00:50:C2:A8:1,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,GB,IAB,2010-05-15,2015-08-29
90:97:D5,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,CN,MA-L,2015-11-15,2018-08-14
74:34:00,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,JP,MA-L,2018-06-25,2018-06-25
B4:20:46,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,US,MA-L,2021-06-24,2021-06-24
00:50:C2:1B:E,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,BR,IAB,2002-10-21,2015-08-29
00:90:F0,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,IL,MA-L,1998-04-22,2015-09-27
D8:08:F5,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,HK,MA-L,2012-07-16,2015-09-27
F0:F2:60,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,SE,MA-L,2013-03-10,2015-09-27
84:39:BE:B,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,CN,MA-M,2016-02-05,2016-02-05
80:9F:9B,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,CN,MA-L,2019-10-16,2019-10-16
70:69:79:A,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,BR,MA-M,2020-04-01,2020-04-01
E4:F2:7C,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,US,MA-L,2023-06-19,2023-06-19
00:80:81,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,US,MA-L,2000-11-09,2015-09-27
00:14:53,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,KR,MA-L,2005-04-07,2015-09-27
88:10:8F,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,CN,MA-L,2018-06-25,2018-06-25
FC:1F:C0,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,FR,MA-L,2010-11-24,2015-09-27
34:03:DE,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,US,MA-L,2017-12-11,2017-12-11
8C:1F:64:EC:F,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,US,MA-S,2022-11-22,2022-11-22
6C:2A:DF:A,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,IT,MA-M,2023-02-23,2023-02-23
A0:25:D7,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,US,MA-L,2023-04-25,2024-03-26
64:A4:44,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,CN,MA-L,2023-09-01,2023-09-01
38:05:25:A,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,IN,MA-M,2025-04-07,2025-04-07
00:03:12,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,DE,MA-L,2000-11-09,2019-01-25
60:C6:58,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,JP,MA-L,2016-10-03,2016-10-03
6C:38:45,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,CN,MA-L,2018-07-17,2018-07-17
20:85:93:9,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,US,MA-M,2019-07-01,2020-09-03
00:07:93,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,TH,MA-L,2001-10-24,2015-09-27
E8:E0:B7,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,JP,MA-L,2010-11-24,2015-09-27
38:17:C3,0,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,REDACTED_IN_FREE_VERSION_CONTACT_support@macaddress.io,US,MA-L,2017-08-12,2024-03-26
